timestamp,t_ex,u_ex,t_amb,u_amb,delta_t,delta_u,label_str,classe
1770857745.8957222,33.83,57.1,28.12,77.9,5.709999999999997,-20.800000000000004,IDLE,0
1770857685.967778,33.65,57.31,28.09,77.79,5.559999999999999,-20.480000000000004,IDLE,0
1770857710.7266743,33.61,57.47,28.04,77.9,5.57,-20.430000000000007,IDLE,0
1770857832.5508604,34.02,56.1,28.1,77.31,5.920000000000002,-21.21,IDLE,0
1770857713.540138,33.65,57.42,28.03,77.92,5.619999999999997,-20.5,IDLE,0
1770857778.5311797,33.98,56.59,28.17,77.7,5.809999999999995,-21.11,IDLE,0
1770857801.0404155,33.97,56.47,28.14,77.58,5.829999999999998,-21.11,IDLE,0
1770857830.8637545,34.02,56.14,28.12,77.34,5.900000000000002,-21.200000000000003,IDLE,0
1770857913.299411,34.34,55.37,28.17,77.17,6.170000000000002,-21.800000000000004,IDLE,0
1770857610.565632,33.87,56.99,28.09,77.9,5.779999999999998,-20.910000000000004,IDLE,0
1770857694.6895275,33.6,57.39,28.08,77.83,5.520000000000003,-20.44,IDLE,0
1770857762.2135804,33.92,56.85,28.15,77.71,5.770000000000003,-20.859999999999992,IDLE,0
1770857734.078661,33.74,57.21,28.07,78.0,5.670000000000002,-20.79,IDLE,0
1770857640.1083007,33.8,57.06,28.11,77.84,5.689999999999998,-20.78,IDLE,0
1770857862.093683,34.18,55.85,28.19,76.99,5.989999999999998,-21.139999999999997,IDLE,0
1770857804.9779916,34.0,56.47,28.16,77.59,5.84,-21.120000000000005,IDLE,0
1770857857.591544,34.11,55.93,28.21,77.09,5.899999999999999,-21.160000000000004,IDLE,0
1770857840.1477766,34.02,56.01,28.16,77.27,5.860000000000003,-21.26,IDLE,0
1770857627.447127,33.77,57.08,28.08,77.92,5.690000000000005,-20.840000000000003,IDLE,0
1770857693.846287,33.58,57.39,28.07,77.79,5.509999999999998,-20.40000000000001,IDLE,0
1770857732.3911896,33.74,57.26,28.07,77.96,5.670000000000002,-20.7,IDLE,0
1770857699.754201,33.56,57.43,28.06,77.85,5.500000000000004,-20.419999999999995,IDLE,0
1770857677.2459536,33.63,57.23,28.1,77.67,5.530000000000001,-20.440000000000005,IDLE,0
1770858023.0249436,34.55,54.85,28.24,77.31,6.309999999999999,-22.46,IDLE,0
1770857907.9533248,34.32,55.41,28.16,77.15,6.16,-21.74000000000001,IDLE,0
1770857633.918162,33.79,57.09,28.1,77.86,5.689999999999998,-20.77,IDLE,0
1770857582.4310198,33.85,57.12,28.04,77.88,5.810000000000002,-20.76,IDLE,0
1770857743.9260094,33.84,57.12,28.12,77.86,5.720000000000002,-20.74,IDLE,0
1770857775.1558225,33.96,56.63,28.14,77.69,5.82,-21.059999999999995,IDLE,0
1770857775.4368966,33.96,56.64,28.16,77.74,5.800000000000001,-21.099999999999994,IDLE,0
1770857961.9725995,34.44,55.09,28.22,77.26,6.219999999999999,-22.17,IDLE,0
1770858037.937291,34.44,54.83,28.21,77.19,6.229999999999997,-22.36,IDLE,0
1770857757.1497362,33.9,56.87,28.15,77.74,5.75,-20.87,IDLE,0
1770857681.4657483,33.68,57.34,28.1,77.73,5.579999999999998,-20.39,IDLE,0
1770857634.1998596,33.79,57.14,28.09,77.88,5.699999999999999,-20.739999999999995,IDLE,0
1770857752.647513,33.89,56.96,28.15,77.85,5.740000000000002,-20.889999999999997,IDLE,0
1770857996.2973783,34.45,54.97,28.19,77.18,6.260000000000002,-22.210000000000008,IDLE,0
1770857693.0014038,33.59,57.35,28.08,77.75,5.510000000000005,-20.4,IDLE,0
1770857882.9129074,34.25,55.43,28.15,77.03,6.100000000000001,-21.6,IDLE,0
1770857842.1169455,34.03,56.03,28.15,77.28,5.880000000000003,-21.25,IDLE,0
1770857821.2972562,34.0,56.27,28.15,77.33,5.850000000000001,-21.059999999999995,IDLE,0
1770857953.8134906,34.4,55.15,28.17,77.27,6.229999999999997,-22.12,IDLE,0
1770857983.918501,34.47,54.99,28.18,77.22,6.289999999999999,-22.23,IDLE,0
1770857593.9669597,33.86,57.09,28.06,77.89,5.800000000000001,-20.8,IDLE,0
1770857662.05347,33.75,57.09,28.14,77.69,5.609999999999999,-20.599999999999994,IDLE,0
1770857590.308925,33.85,57.16,28.05,77.92,5.800000000000001,-20.760000000000005,IDLE,0
1770857606.344764,33.89,56.92,28.08,77.93,5.810000000000002,-21.010000000000005,IDLE,0
1770857655.2997289,33.78,57.1,28.16,77.76,5.620000000000001,-20.660000000000004,IDLE,0
1770857972.3824637,34.46,55.04,28.2,77.24,6.260000000000002,-22.2,IDLE,0
1770857606.6265323,33.88,56.96,28.07,77.96,5.810000000000002,-20.999999999999996,IDLE,0
1770857867.720482,34.2,55.67,28.18,76.96,6.020000000000003,-21.289999999999992,IDLE,0
1770857608.3154664,33.88,56.94,28.06,77.95,5.820000000000004,-21.010000000000005,IDLE,0
1770857705.6628363,33.57,57.47,28.04,77.83,5.530000000000001,-20.36,IDLE,0
1770857712.696391,33.65,57.37,28.0,77.91,5.649999999999999,-20.54,IDLE,0
1770857999.3919675,34.46,54.97,28.18,77.18,6.280000000000001,-22.210000000000008,IDLE,0
1770857752.9289966,33.9,56.98,28.13,77.81,5.77,-20.830000000000005,IDLE,0
1770857727.8890457,33.72,57.27,28.06,78.04,5.66,-20.770000000000003,IDLE,0
1770857679.7786372,33.65,57.35,28.1,77.75,5.549999999999997,-20.4,IDLE,0
1770857824.1107688,33.96,56.18,28.12,77.3,5.84,-21.12,IDLE,0
1770857815.952211,33.98,56.37,28.13,77.44,5.849999999999998,-21.07,IDLE,0
1770857895.574354,34.28,55.44,28.2,77.18,6.080000000000002,-21.74000000000001,IDLE,0
1770857614.2235034,33.84,56.94,28.07,77.95,5.770000000000003,-21.010000000000005,IDLE,0
1770857868.8453653,34.22,55.69,28.19,76.95,6.029999999999998,-21.260000000000005,IDLE,0
